Q,A
준비즁,전화가능??
장원이가 코노 가자고 석계 같이 가자고해서 장원이 집 가는중 출발할때 말해줄게 준비 하고있어?,좋아 응 준비 다해서 이제 나가려고 했어 장원이 만났어?
응응 지금 장원이집,출발하면 말해줘
지금 출발해요,넹
지금 주민센터쪽 코노로 와요,알겠습니다~ 도착했어
어댜 동영상,일어났어 병원 잘 다녀왔어?
준서 밥 다 먹었어?,응 다 씻었어 옷 입으려공
마미가 만두사오래,헐랭 맛있겠다아
마미집 도착 장원이한테 얘기했어? 나 아는척해 머르는척해,아직 말 안했어 아는척하는게 나을거같은디??
잉 아는척하께,장원이 만났어?
이제 슬슬 나가려구 너는?,나는 피시방나왓어 노원 코노갔다가 갈거같아
지금 만나?,ㅇ응 성현이 지갑놓고와서 좀 늦을거같아
우리도 뭐 나 이제 나와서 장원이 집 가는중 나 장원이 만나서 출발,나도 석계역에서 출발
잉 이따봐,좋아요 이따 담배필때 톡줘
네에 웨이팅 존나 긴데 어디양,건물 앞 도착
얼라오면 우리 만날즛,에바야
ㅋㅋ왜 우리 다른데감,집가고싶어 ㅋㅋㅋㅋㅋ
왱,뭐하는건지 모르겠어 너는 어디로갔어
앞에 인생맥주에서 웨이팅 ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋ 노원 쉽지않네,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
그래도 넌 헌포네 헌팅하고있니?,중앙으로들오왔어
ㅋㅋㅋ재밌게 놀고와,어디야 ??
준서 나 취했어,어디야 도착했어요 바로야 현지
알았어 재밌게 놀아요,응 난 괜찮아 너무 아프지만 말아줘
얘기 다 끝났어,지금 뭐하고있어 현지
일어났어요,출발할게요
네?,에? 나한테 통화중이야? 석계광장 근처오면 말해줘 원준이 더캠에 있다고 해서 잠깐 얘기하고있을게
광장인디,오잉 나갈게
카페 들어가있을게 얘기하구와,누워서 뭐하고있어
잠?,좋은 아침..🌞 지하철역 도착했어요~ 아까보다 덜 춥네
현지는 머리 만디는중,얼마나 예뻐지려고
ㅋㅋ 준서한테만 예뻐 그레도 가기러했어요,오랜만에 카페 가는 데 기분 좋겠네~ 흑임자 케이크 맛있었는데 오늘도 흑임자인가?
당연 준비끝~ 카페에용,구웃웃
준서 바빠용?,지금은 좀 괜찮아 얘기 다 끝났어?
응응 얘기 다 하구 앉아서 떠드는중 이따가 코노 갈거야,얘기하느라 고생했어요 경배랑 재밌게 놀구 연락해줘
응응 하나도 고생 안했어 코노왔어요 집가는듕 집 들어왔어요 쉬고있을게 끝나고 연락해요,연락줘서 고마워😊 이제 별로 안남았다 끝나고 전화할게~
응응 조금만 고생해 일어나면 전화해줘,저 깨어났습니다.. 현지 잘 주무셨어요??
자냐,아뇨 이제 씻고 나왔어요 자기 다 씻고 연락주세요
자기 나 도착했어요 다녀올게 일어나면 연락해줘,빰빠밤 하루종일 누워있다가 정신 차리고 자기가 준 먼치킨 먹으면서 공부할 예정입니다! 이제 나왔어요
조심해서오ㅓ요,넵 이제 지하철역 앞이에요 편의점에서 뭐좀 먹었어 삼각김밥이랑 우유 자기 일찍끝날거 같아? 나 열차 놓쳐서 10분 도착예정이야
데려다줘서 너무 고마워 자기 조심해서 가용,얼굴봐서 너무 좋았어 장원이 집이라고 해서 담배한대피고 들어가게
웅 헤어졌어?,응 이제 헤어져서 집가는중이야
ㅋㅋ오래도 있었네,그러게 얘기하다보니까
응응,시간좀 지났어
나도 다 먹구 딸기먹는즁,왓 딸기 개맛있겠다
개마싯다 쉴때 사서먹쟝,내일 과일 사갈래 응응 집에 들어갈때 연락줘요 집도착해서 연락할게 어머니랑 얘기 잘하고 와
웅 낼 과일 사가자,넵
팬티 태그한거 이악물고 무시하네,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그건 아니지..자기야 ㅋㅋㅋㅋㅋ 나 엘베
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,집 도착해서 씻을게요??^^
아 다른거 다 대답하면서 그것만 이악물고 박박 무시하는거봐,.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 사람들이 오해해..
ㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋ 씻고올거?,잉
아라뜌 나 집에가용 집도착 나도 씻고올겡,다녀오세요 일어났습니다~
나두 인나써,인나서 뭐하구있어
누워이쪄 자기 출발해써??,동영상
어케이 확인,자기 자..?
졸았어 왜용 프사 디진당,ㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋ쉅중 ?,응 수업하고있어 ㅋㅋㅋㅋ
키키 나 ㅇ제 씻고 나옴,라져~! 자기 씻고 있어?? 나 강의 끝났어
ㄴㄴ화장하는즁 오이오이 뭐해 대답,고냥 앉아서 얘기중이야 할것ㄷㅎ 없어서
아나 에어팟 배터리 없누,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 인스타 조져엇
ㅠㅅㅠ,의사 선생님 기다리는중 자기 바빠?
결과 나왔어?,응응 짐 챙겨서 자기집갈게유
응응 다행이다 이따 전화할게,잉 엄마 무중상이라 다행이다 ㅡ 맘편히 갈수있을거같아
그래도 마주치면 언돼ㅠㅠㅠ 조심해ㅠㅠ,넹 집 도착했어 레츠꼬우 일단 나왔는데 원준이 카공한다해서 카페가는즁 미아리 우동집와서 비빔밥 시켰어 혼밥조지는즁..
ㅋㅋㅋㅋㅋ큐ㅠㅠㅠ 카페에서 겅부중이니,아뇽 이제 다먹었엉ㅍ 도착했어요~
보구시퍼 이거봐 ㄷ ㄷ 나 완전 직장인가태 왜 안봐줘잉,지금봤어요 ㅋㅋㅋㅋㅋ 자기 대단하네~ 점장같아
ㅋㅅㅋ 야 우리내일 사전투표하러가자 나 출근전에,조아
오케잉 좀 일찍 나가서 가자잉 내일까지일거야 주민센터가면대,응 자기 누구뽑을건디? 물어보지말까?
ㅋㅋㅋㅋㅋㅋㅋㅋ 너는 누구뻡을거임 나 1번 나는 암것두 모르지만 그래두 경력직이 낫지않을까싶어서,오홍 재명선생이라.. 오케이
너눈 석열씨?,아뉭
ㅋㅋㅋ그롬,나도 소신있게
철수씨?,얍
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아,철수씨로 가겠어 ㅋㅋㅋㅋㅋ
나도,응
나도 그럴래,뭐를 철수씨?
흠 좀더생각해봄,오카이 ㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 슬슬 담배피러가볼까 공부중임?,놉 짐 정리중이야 나갈준비
흠냐 전화온제해두대,자기 거기도 바람 많이불어?? 태풍마냥 부네;; 태풍이라네용??ㅋㅋㅋㅋㅋ 피방 도착이요
자기 게임 열심히하고있나부네,피방나와서 자기집 가구 있어 자기없는 집 너무 쓸쓸하다 마마가서 밥먹고올게 물론 간단하개
아나 순대국안먹었음?,엉 밥 안먹고 바로 갔어 다 따로 먹는다고 해서 집 도착했어요 1시간정도 남았네 자기 남은시간 화이팅!!
앙 퇴근띠,농땡이 피우다 이제 씻습니다~
씻고 나가니~~?,넹ㅇ~~ 이제 씻고 나왔어욥 근데 원준이가 전화를 안받네유 😂 나왔어요 원준이랑 먼저 피방가기로 했어 ㅌㅋ 피방 도착했어 게임 야무지게 해볼게 이따 전화하면 news가 있을 예정이야
오이오이 겜중?,얍얍 이판하고가게
카페가유?,다른 애들 또와서 안갈거같아 오늘은 game day??랄까
맨날 겜데이야 나 배고프니까 밥 나랑먹어,ㅋㅋㅋㅋㅋㅋㅋㅋ 알겠슙니다
쓰레기 버리러가는즁 아 버리고 올라옴 바쁜가부네 ^ㅗ^ ? 삭제된 메시지입니다. 핸드폰 잃어버렸니?,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 쏘리여 핸드폰 알람 울린거 못들었어 ㅠㅠ 자기 뭐해요??
ㅋㅋ 머하긴 일하지 핸드폰은 안잃어버렸넹,그렇구나 우리자기
웅,약시 최고얌
머가,일하는 모습 너무 멋지다 좀만더힘내 다 끝났엉 집 가있을게요 그냥 자기랑 같이가려규 노래방에서 시간때우는중 자기 아직 안끝났어??
모하닝,정신 못차리고 누워있어 자기는?? 자기 생각이 맞았어?
정확했비 애 야 집에 등받이의자 가져갈까 일단 하나 챙겼는데 하나 더 챙길까? 너도 같이 쓸래?,ㅋㅋㅋㅋㅋ정확했구나 등받이 의자? 낚시 의자나 캠핑 의자 말하는거야? 작은거??
ㅇㅇㅇ근데 다리는 없어서 그냥 집에서 쓸수있어 우리 밥먹을때나 그럴때 쓸까? 하나 더 챙겨?,ㅋㅋㅋㅋㅋㅋㅋㅋ 챙겨챙겨 좋은데??
오케 무거우니까,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
델러와야대,오케오케
오케,이제 옷입구 나갈준비한다잉 추울발 열쇠집 문 다 닫았으..
ㅋㅋ기여어 어디강,미아리에서 밥먹구 엘가가서 공부하게 오늘은 짜장밥으로 간다 오랜만에 엘가 왔습니다~ 디카페인 아메리카노 먹어볼게유
오이오잉 추워서 나가기 무섭,ㅋㅋㅋㅋㅋㅋㅋ 담배 vs 날씨
당연담배,역시
뭐하노,이제 짐싸고 나가는중이야 준형이랑 둘이 노래방갈듯요? 도착했어 20곡..ㅋㅋ 핸드폰 충전시키고있을게
ㄷㄷ,노래 다 불렀으 15분뒤 출발할게 가유
오케잉 조심해서와융,도착했슞니다
오미 와이리빠르누,고러게유 천천히해 핸드폰하고있을게
잉 나 ㄲㅌ나고 옷갈아입었어 2분만 있다가 지문 찍구 나갈겡 얼른 갈겡,응응 저 가요~ 도착했다! 이제 씻고 올게
에고 엄청 늦게 갔네 ㅠㅠ 나 깼어ㅠㅠ,일어났어욥 몸은 좀 괜찮아??? 학교 가보자가보자.. 자기야 뭐지 나도 몸이 으슬으슬 춥네 이제 강의실 들어가 끝났다~~
나두 이제 씻으러규 자기는 밥 먹게?,잉 밥 먹어야지
자기 뭐해 저나안바더,아 밥먹고있었어 지금도 먹고있어서 다 먹고 연락할게 사람 기많이 ㅏ
아라쪄 조심해서 다녀와 현지 도착했어용 자기 수업 열심히 들어 ❤️,넹 수업 끝났어욥 자기도 화이팅
잉 자기 보구시포,엥 나돈데 얼른 끝났으면 좋겠다 난 다 끝났어 자기 이제 담배 스근하게 피고 밥먹으려구
머먹게 자기 나 5시에 쉰당 대기행,오케잉 대기할게유 나 카레라이스+돈까스시켰어 개맛있겠지
웅 미쳤다 개마싯겠다 오이오이 밥먹는중?? 흐잉 이제 슬슬 들어갑니당 ㅠㅠ,하잉 가는군요..
울자기 과제 화이팅하구,잘갔다오시라요
이따봐용,넵!! ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 박력있어
ㅋㅋ기여엉,💚
이따봐 안나뷰,엉 자기 화이팅
집에 가고싶어요,곧 납치하러 갑니다 택시 조져? 내가 운전한다
ㅋㅋㅋㅋㅋㅋ 아 택시 기사님을 납치하는거야?,ㅋㅋㅋㅋㅋㅋㅋㅋ 둘다~
과제는 다했어?,엉 예습하고 있었어
역시역시~~~ 괴물쿤이라니깐~~~~,ㅋㅋ 그놈의 괴물쿤 자기는 시간내서 나랑 같이 정주행해야겠다^^
미안 ㅠㅠ,이미 늦어썽 받아들여 쟈기 괴물쿤에 대해 알아보자?? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 쌉 오타쿠같으니까 그만할래
아씹 ㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋ,도서관 이용 끝났다 슬슬 준비해서 나갈게요
잉 빨리 나오넹 야야 20분밖에 안걸리는디?? 여기까지? 천천히왕,ㅋㅋㅋㅋㅋㅋ 알겠어 느긋하게 갈게 이따봐유
잉 출발해써?,응 방금 출발했어 지하철역 도착 10초전 열차타서 가고있어요
아놔 빨리 도착하겠네 짐 거의 다왔겠네 아직 빵도 안버렸는디ㅠㅠ,나 도오착 천천히혀
잘자 기욤아,잘자 이쁜아 ㄱㅣ..상.... 등교중~ 이제 수업들으러 갈게요
ㅠㅠㅠ 애기 고생하네,쉅 끝났다..ㅍ 밥먹고 전화할게 쟈기
응응,공부 끝내고 강의실 가는중이야 드가볼게
웅 자기 화이팅❤️,고마워요 ㅎㅎ
ㅋㅋ기여워 나 쉬는시간이당,나도 끝났어 자기 밥은 잘 먹었어??
헤엑 나 김밥먹었어 참치김밥 커피도 먹었어 아아 잘했어??? 못했어ㅠㅠ? 안잘했어ㅠㅠ?,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 너무 잘했어~~~~~~ 완전 짱
7분뒤에 들어가야개 대,기분좋게 먹었나보네 나두
응응 배불렁,강의실 도착해서 앉아있어
자기는 배 안고파??,조금 고파
저녁에 뭐먹을거야?? 학교끝나구??,음
밥먹구 공부하구 애들만날거야??,응 그래야지
응응 너무 잘하고있군,오늘 공부 할거 생겼어 ㅋㅋㅋㅋㅋㅋ 아니면
밥만 잘먹으면 게임하는거 허락해주께,바로 오
응응,좋아 그 강의 늦게 끝나면
응응,밥먹고 바로 동네 갈수도있어 시간 애매하니까
그래그래 울집에서 공부해,잉 잉잉 잉잉잉
잉잉 낼 쉬니까 늦게끝나면 밥먹구 친구들 만났다가 낼 해두되궁 자기 편한대루해용,넵
갈때 카톡만 남겨죠잉,내일 노트북을 챙길지 생각해볼게요
응응 울집올때??,얍얍
어차피 나 출근하면 집갈고자나,맞네
이거는 나만나구 얘기행 자기 보구싶퍼,얼겠어 ㅋㅋㅋㅋㅋㅋㅋ
자기 안보는거 불가능해,나도너도너도나도나도나도
넘 보고싶어 모야??? 어찌이래 왜때무네,ㅋㅋㅋㅋㅋ
일케 보고싶은거야???? 뭐야????,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
뭘까ㅠㅠ,얼른 보고싶다
넘 보고싶어 뽀뽀하고싶어ㅠ,ㅋㅋㅋㅋㅋㅋㅋ
만나면 한시간동안 안고만있자,귀여워~~~~ 응 진짜로
나 밥도 안먹구 씻지도않고,밥..?
자기랑 껴안고만 있을래 지금 든든하게먹었자나 아이스크림이나 먹자,흐음? 음음 나쁘지않네
조하,통과!!
자기 보내고 자기 도착하면 같이 씻어야겠다 쟈기쟈기 나 이제 들어가볼게???? 나머지 수업 잘 듣구,알겠엉 나머지 시간 힘내구 이따가 또 연락헐게
조심해서다녀~~~,네에
내가 많이 사랑해 준서~~~~ 안나뷰,사랑해
이따봐❤️❤️❤️,ㅋㅋㅋㅋㅋㅋ 귣 이따가 이거 분석들어간더잉 강의 뿌시기 완료 그냥 공부 내일로 미뤄볼까나..? 회기도착해서 밥먹으려구 애들 회기에서 논대 회기도착해서 밥 다먹고 피시방가고있어요~ 아니다 그냥 빽해서 카페가고있어 맘 편하게 과제나 하게
예뻐죽겠네~~,공부하니까 이쁨도 받고 좋네
ㅋㅋ 자기는 숨만 쉬어도 예뻐,항상 고마워~ 얼른 보고싶다
웅 나두 겅부 잘 하구이써~?,당근 보람차게 하루 보내는중
애기 아직두 공부중?,그럼 공부할 거 아직 있어서 돌곶이역으로 맞춰갈게 나도 어차피 열차 타야돼
응응 알았어요 40붐정도에 도착할것같아요 돌곶이,오케이
잉 카페도 11시까진가??,방금 물어보고왔는디 10시까지래 난 10시 20분정도 도착 예정
힝 나 아제 옷갈아입어유,나도 준비해서 나왔어
ㅠㅠㅠㅠ 나 끝났는데 지하철 10분뒤에와 죽고시퍼,오늘은 10시 10분이 아닌가보네?
아니 이새끼는 11분으로 뜨는데,응
이새끼는 ㅅㅂ,ㅋㅋㅋㅋㅋㅋㅋ
어ㅐ 안맞아 열 뒤지게받어 또,천천히 와도돼 나 천천히 걷고있어
안돼 울자기 기다린단말이야 오늘 하루종일 공부하느라 힘들텐데,ㅋㅋㅋㅋㅋㅋ
얼른가서 쉬어야된단말야,힝
힝,자기두 고생했어
자기두 자기가 더 고생했어 멋져 담배 참어 나랑 펴,알겠엉 기다리고있을게
웅 자기 최고 야 배 안고픔??,응? 적당히 고파 자기는?
흠 나도 ㅋㅋ ㅅㅂ 돼지야ㅠ,ㅋㅋㅋㅋㅋ 아니야
아 열받어,귀요미야
앞으로 휴식시간에 안먹어,돼지라 하지마
어차피 저녁에 배고프니까,ㅋㅋㅋㅋㅋㅋ
돼지맞어 커버 ㄴㄴ,뭐 먹자
흠,일 했으니까
빵사드실,먹을만해 빵 좋지
아니면 샌드위치 해먹을까 어떠노 뭐먹을래,빵 얼른먹고
ㅇㅇ,안을래
오케잉 파바가즈아,길잃었다 자기 천천히와 ㅋㅋㅋㅋ
응응ㅇ 야야 글고 오늘 블베도 먹자 ㅎㅎ,맞네 맞다 오카이 블베도 접수
히히 삭제된 메시지입니다. 아싸,ㅎㅎ 가보자잇 나 석계역 열차기다리는중이야
나 이제 갈아타요 탔어,어디쯤에서탔어?
6-1인가 왱 너도 같은거임?,그런듯 ㅋㅋㅋㅋㅋ 나 아직도 못탔어 이제온다 나 도착했어 씻고올게 다 씻었어 지금 얘기 못하겠으면 다음에 얘기하자 6시에 일어나서 석관고등학교로 출발할게 시간 늦었다 잘자 현지
준서 화내서 미안해 너 피곤한 것도 알고 나랑 더 같이 있고 싶은 것도 알고 나도 너랑 같은 마음인데 다 알면서도 화냈어 인사도 안 하고 혼자 보내고 전화도 내 할말만 하고 준서 말은 들어주지도 않고 혼자 집 가면서 속상했을 것 같아 내가 너 벌 세운 것 같아서 마음이 너무 안 좋다 잠깐의 내 감정보다 준서가 훨씬 소중한데 그렇게 대해주지 못해서 미안해,자기 자..? 나 투표 끝났어 자기 끝나면 전화줘
나 도착해쏘,잘 다녀오세요 🙌 나 지금 나와서 카페가고있어 한참 놀다가 이제 공부시작합니다..
아이씹 존나바빠 휴 울준서 공부잘하고있니,그럼요 열심히 하고 있죠 좀만더 힘내요 자기 쉬는시간까지 별로 안남았어
휴 담배 마려워,ㅋㅋㅋㅋㅋㅋㅋㅋ 엄청 바쁜갑네
장원이 이별이요,오...마이.......갓 결국 그렇게 됐구나 빛의 속도네 ㅋㅋㅋㅋㅋㅋ
격리중 이별,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 근데 엄청 웃기다
ㅋㅋㅋㅋ관상이 진짜 과학이라니께,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
장원이가 내말이 옳대 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 방금 장원이한테 연락왔어?
ㅇㅇㅇㅇ 글서 새벽에 담배나 피자함 이별주하러간대 애들이랑 ㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오케이 가서 얘기나 더 들어야겠다
ㅋㅋㅋ맨정신 아닐수도 그럼 낼 보자 관상은 ㄹㅇ 과학인가봐 이래서 얼굴케미가 잘맞는 사람들이 진짜 잘맞는대,MBTI와 동급이네
